conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.79690501309436E+018,Sat Jun 01 14:01:54 +0000 2024,0,Anak kesmas vs anak farmasi kita semua cape fasilitas ga memadai dengan ukt belasan juta hadeh kampus samping tol ini kenapa sih,1.79690501309436E+018,,,in,~`~,0,0,0,https://x.com/piscesiswhale/status/1796905013094355247,1.31107349787606E+018,piscesiswhale
1.79688625982431E+018,Sat Jun 01 14:00:47 +0000 2024,1,@unnesmenfess Fh ya brou. Eh dulu keknya diajakin diskusi perkara ukt/ipi gitu sama mahasiswa itu jadi ga sih?,1.79690473255409E+018,,unnesmenfess,in,,0,0,0,https://x.com/jena_haraa/status/1796904732554092735,1.63671636880776E+018,jena_haraa
1.79690332920291E+018,Sat Jun 01 13:55:13 +0000 2024,0,Kenaikan UKT Menuai Kontroversi Terhadap Aksesibilitas Pendidikan Tinggi di Indonesia https://t.co/BHvnPNZULZ,1.79690332920291E+018,,,in,Indonesia,0,0,0,https://x.com/kompasiana/status/1796903329202909322,23786106,kompasiana
1.79595931271759E+018,Sat Jun 01 13:54:01 +0000 2024,0,@caratkids @chelastial gue yg ukt aj blm keluar diem aj,1.79690302945692E+018,,caratkids,in,,0,1,0,https://x.com/pepperonise/status/1796903029456924675,1.77474562328122E+018,pepperonise
1.79690275296838E+018,Sat Jun 01 13:52:55 +0000 2024,1,kalo kalian dpt beasiswa full 100% sampe wisuda di salah satu PTS Muhammadiyah ternama tp di sisi lain kalian jg keterima di PTN top tp dpt ukt gol tertinggi kalian bakal pilih yg mana? aku lg butuh masukan bgt nih,1.79690275296838E+018,,,in,she/her â”â â˜†ï¾Ÿâ .â *â ï½¥â ï½¡ï¾Ÿ,0,1,0,https://x.com/nazelouse/status/1796902752968376498,1.66082583912948E+018,nazelouse
1.79690183940705E+018,Sat Jun 01 13:49:17 +0000 2024,0,yaampun gaji gue kecil amat mana cukup buat bayar ukt,1.79690183940705E+018,,,in,,0,0,0,https://x.com/ayellow_3to3/status/1796901839407051216,2415174678,ayellow_3to3
1.79690106362025E+018,Sat Jun 01 13:46:13 +0000 2024,1,Kenaikan UKT Menuai Kontroversi Terhadap Aksesibilitas Pendidikan Tinggi di Indonesia https://t.co/QMufQQicnv,1.79690106362025E+018,,,in,Indonesia,0,0,0,https://x.com/kompasiana/status/1796901063620247888,23786106,kompasiana
1.79690049087543E+018,Sat Jun 01 13:43:56 +0000 2024,0,inilah pc yang seharga ukt satu semster itu,1.79690049087543E+018,,,in,akun gado gadoâ€¦..,0,1,0,https://x.com/pengabdisoobin/status/1796900490875425148,1.64085504825429E+018,pengabdisoobin
1.79689953373075E+018,Sat Jun 01 13:40:08 +0000 2024,0,Buruh Serukan Aksi Demo 6 Juni di Istana Negara untuk Tolak Tapera Penolakan Program KRIS dan UKT Mahal Juga akan Disuarakan https://t.co/kR2vxPc0m1 https://t.co/kR2vxPc0m1,1.79689953373075E+018,,,in,indonesia,0,0,0,https://x.com/posaktualcom/status/1796899533730754901,1.63662772967534E+018,posaktualcom
1.79689731215924E+018,Sat Jun 01 13:37:23 +0000 2024,12,Buat followers ghuwe yang masih SMA dan mau ambil pend. sarjana psikologi dengan mimpi jadi psikolog mending lu berjuang sampe nangis darah buat masuk S1 UGM deh~ worth it banget in the long run apalagi kalau sampai dapet UKT dengan rentang rendah. Lebih hemat jangka panjang.,1.79689884396104E+018,,IamPrasPrasetja,in,"Depok, Jawa Barat",3,1,0,https://x.com/IamPrasPrasetja/status/1796898843961036927,1.54277741571357E+018,IamPrasPrasetja
1.79659797645617E+018,Sat Jun 01 13:36:14 +0000 2024,1,@papipapippum @intinyadeh masalahnya ormas2 agama penggerak masyarakat udah di kasih proyek hadeh mahasiswa juga lebih mikir ukt mahal,1.79689855273789E+018,,papipapippum,in,,0,0,0,https://x.com/thehot_man/status/1796898552737894542,1.38072619279433E+018,thehot_man
